icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,mapped_airline
a20272,CXK673,United States,1774544986.0,1774544986,-73.4606,41.0886,792.48,False,66.51,61.85,1.3,,731.52,,False,0,Cathay Pacific
a44240,DAL1985,United States,1774544986.0,1774544986,-65.6183,18.6665,11277.6,False,260.63,132.92,0.33,,11811.0,,False,0,Delta Air Lines
738448,AIZ216,Israel,1774544407.0,1774544983,34.1035,32.5227,327.66,False,220.15,131.4,-13.98,,4335.78,7405.0,False,0,Air India
4bb102,THY8MT,Turkey,1774544986.0,1774544987,-111.2212,41.5708,12192.0,False,227.98,202.98,-0.33,,12481.56,,False,0,Turkish Airlines
a4421d,DAL2623,United States,1774544986.0,1774544986,-80.7191,27.4971,7612.38,False,232.69,340.36,6.18,,7947.66,6001.0,False,0,Delta Air Lines
ab3c58,DAL3107,United States,1774544986.0,1774544986,-83.7759,33.1962,3390.9,False,153.73,262.11,-13.0,,3550.92,7617.0,False,0,Delta Air Lines
a44213,UAL2248,United States,1774544986.0,1774544986,-115.9608,33.8648,10363.2,False,236.89,272.61,0.0,,10820.4,3533.0,False,0,United Airlines
ab3c61,DAL569,United States,1774544986.0,1774544986,-88.1695,36.8002,11894.82,False,261.04,118.48,0.0,,12298.68,,False,0,Delta Air Lines
3965a3,AFR008,France,1774544986.0,1774544987,-9.5633,50.7326,10363.2,False,230.84,284.72,0.0,,10599.42,5607.0,False,0,Air France
484bd1,KLM991,Kingdom of the Netherlands,1774544986.0,1774544987,4.7125,52.3695,502.92,False,82.39,2.51,5.2,,579.12,,False,0,KLM
3965a1,AFR4U,France,1774544985.0,1774544986,-69.2218,44.2283,11277.6,False,229.93,221.64,0.0,,11094.72,2441.0,False,0,Air France
aa2bc4,UAL1434,United States,1774544987.0,1774544987,-80.4684,38.4919,9502.14,False,216.86,256.56,4.23,,9768.84,,False,0,United Airlines
3965b2,AFR718,France,1774544986.0,1774544986,-10.2126,37.5504,10668.0,False,268.3,212.47,0.0,,10942.32,7633.0,False,0,Air France
ac121a,UAL1309,United States,1774544986.0,1774544986,-84.9294,41.4908,11582.4,False,186.43,272.69,0.33,,11788.14,5415.0,False,0,United Airlines
aa2bc2,UAL1416,United States,1774544986.0,1774544986,-105.4014,31.7099,10058.4,False,247.43,98.25,0.0,,10584.18,7310.0,False,0,United Airlines
aa2bc1,UAL770,United States,1774544986.0,1774544986,-94.6825,34.2089,10363.2,False,229.17,254.37,0.0,,10820.4,1766.0,False,0,United Airlines
a76df8,AAL2763,United States,1774544986.0,1774544986,-73.4383,42.7444,9799.32,False,271.65,90.76,-4.55,,9791.7,6004.0,False,0,American Airlines
ad9edf,AAL2988,United States,1774544986.0,1774544986,-82.8104,28.1981,10668.0,False,240.69,156.17,0.0,,11094.72,7765.0,False,0,American Airlines
485ecd,KLM843,Kingdom of the Netherlands,1774544986.0,1774544986,11.5134,51.4007,9448.8,False,258.83,108.9,0.0,,9136.38,3175.0,False,0,KLM
ab4bf7,DAL4,United States,1774544986.0,1774544986,-8.8084,52.5398,9753.6,False,222.18,279.46,0.0,,9959.34,5144.0,False,0,Delta Air Lines
a1f11d,AAY383,United States,1774544797.0,1774544797,-84.6466,39.0571,304.8,False,68.94,180.43,-3.58,,266.7,,False,0,American Airlines
aa2ba5,UAL453,United States,1774544986.0,1774544986,-77.6035,38.6515,3291.84,False,160.65,229.94,3.58,,3345.18,,False,0,United Airlines
aa2ba4,UAL2858,United States,1774544986.0,1774544986,-75.0763,40.1158,3375.66,False,167.43,43.01,-2.28,,3406.14,232.0,False,0,United Airlines
acced9,AAL1071,United States,1774544986.0,1774544986,-83.294,35.8553,8839.2,False,231.37,105.21,0.0,,9166.86,1340.0,False,0,American Airlines
4bb04d,TKJ9GA,Turkey,1774544986.0,1774544986,8.3428,49.4035,10675.62,False,241.82,115.86,-0.33,,10462.26,4615.0,False,0,Turkish Airlines
aae597,AAL45,United States,1774544915.0,1774544971,-64.4371,47.5611,11277.6,False,225.3,226.94,0.0,,10896.6,2525.0,False,0,American Airlines
a129dc,AAL1737,United States,1774544984.0,1774544986,-92.9588,32.1431,10675.62,False,241.29,99.2,0.0,,11163.3,3036.0,False,0,American Airlines
4bb068,THY1WM,Turkey,1774544986.0,1774544986,17.0211,37.3626,10972.8,False,196.01,232.68,0.0,,10980.42,,False,0,Turkish Airlines
4bb069,THY7MJ,Turkey,1774544985.0,1774544985,17.9384,59.6531,,True,0.0,255.94,,,,,False,0,Turkish Airlines
4bb064,THY84W,Turkey,1774544955.0,1774544956,30.0492,38.5671,10058.4,False,260.77,159.56,0.0,,10050.78,,False,0,Turkish Airlines
