ingestion_time_utc,mapped_airline,live_flights,avg_velocity,avg_altitude,on_ground_count,airborne_count,prev_live_flights,count_change,target_anomaly,departure_iata,route_flights,has_aviationstack_context,airborne_ratio,on_ground_ratio
2026-04-01T16:53:17.302897+00:00,American Airlines,531,191.04,8551.53,52,479,545.0,-14.0,1,JFK,5.0,1,0.9020715630885122,0.09792843691148775
2026-04-01T16:53:17.302897+00:00,American Airlines,531,191.04,8551.53,52,479,545.0,-14.0,1,LAX,10.0,1,0.9020715630885122,0.09792843691148775
2026-04-01T16:53:17.302897+00:00,American Airlines,531,191.04,8551.53,52,479,545.0,-14.0,1,LHR,14.0,1,0.9020715630885122,0.09792843691148775
2026-04-01T16:53:17.302897+00:00,American Airlines,531,191.04,8551.53,52,479,545.0,-14.0,1,ORD,1.0,1,0.9020715630885122,0.09792843691148775
2026-04-01T16:53:17.302897+00:00,American Airlines,531,191.04,8551.53,52,479,545.0,-14.0,1,SYD,3.0,1,0.9020715630885122,0.09792843691148775
2026-04-01T16:53:17.302897+00:00,British Airways,83,192.75,8014.2,1,82,70.0,13.0,1,AMS,1.0,1,0.9879518072289156,0.012048192771084338
2026-04-01T16:53:17.302897+00:00,British Airways,83,192.75,8014.2,1,82,70.0,13.0,1,BOM,4.0,1,0.9879518072289156,0.012048192771084338
2026-04-01T16:53:17.302897+00:00,British Airways,83,192.75,8014.2,1,82,70.0,13.0,1,DEL,4.0,1,0.9879518072289156,0.012048192771084338
2026-04-01T16:53:17.302897+00:00,British Airways,83,192.75,8014.2,1,82,70.0,13.0,1,HKG,1.0,1,0.9879518072289156,0.012048192771084338
2026-04-01T16:53:17.302897+00:00,British Airways,83,192.75,8014.2,1,82,70.0,13.0,1,JFK,2.0,1,0.9879518072289156,0.012048192771084338
2026-04-01T16:53:17.302897+00:00,British Airways,83,192.75,8014.2,1,82,70.0,13.0,1,LHR,4.0,1,0.9879518072289156,0.012048192771084338
2026-04-01T16:53:17.302897+00:00,British Airways,83,192.75,8014.2,1,82,70.0,13.0,1,ORD,1.0,1,0.9879518072289156,0.012048192771084338
2026-04-01T16:53:17.302897+00:00,British Airways,83,192.75,8014.2,1,82,70.0,13.0,1,SIN,2.0,1,0.9879518072289156,0.012048192771084338
2026-04-01T16:53:17.302897+00:00,British Airways,83,192.75,8014.2,1,82,70.0,13.0,1,SYD,3.0,1,0.9879518072289156,0.012048192771084338
2026-04-01T16:53:17.302897+00:00,Cathay Pacific,97,95.61,3306.51,3,94,115.0,-18.0,1,HKG,15.0,1,0.9690721649484536,0.030927835051546393
2026-04-01T16:53:17.302897+00:00,Cathay Pacific,97,95.61,3306.51,3,94,115.0,-18.0,1,JFK,1.0,1,0.9690721649484536,0.030927835051546393
2026-04-01T16:53:17.302897+00:00,Cathay Pacific,97,95.61,3306.51,3,94,115.0,-18.0,1,LAX,1.0,1,0.9690721649484536,0.030927835051546393
2026-04-01T16:53:17.302897+00:00,Cathay Pacific,97,95.61,3306.51,3,94,115.0,-18.0,1,LHR,2.0,1,0.9690721649484536,0.030927835051546393
2026-04-01T16:53:17.302897+00:00,Cathay Pacific,97,95.61,3306.51,3,94,115.0,-18.0,1,SYD,1.0,1,0.9690721649484536,0.030927835051546393
2026-04-01T16:53:17.302897+00:00,Delta Air Lines,504,190.41,8840.77,57,447,496.0,8.0,1,AMS,17.0,1,0.8869047619047619,0.1130952380952381
2026-04-01T16:53:17.302897+00:00,Delta Air Lines,504,190.41,8840.77,57,447,496.0,8.0,1,CDG,16.0,1,0.8869047619047619,0.1130952380952381
2026-04-01T16:53:17.302897+00:00,Delta Air Lines,504,190.41,8840.77,57,447,496.0,8.0,1,FRA,2.0,1,0.8869047619047619,0.1130952380952381
2026-04-01T16:53:17.302897+00:00,Delta Air Lines,504,190.41,8840.77,57,447,496.0,8.0,1,JFK,12.0,1,0.8869047619047619,0.1130952380952381
2026-04-01T16:53:17.302897+00:00,Delta Air Lines,504,190.41,8840.77,57,447,496.0,8.0,1,LAX,12.0,1,0.8869047619047619,0.1130952380952381
2026-04-01T16:53:17.302897+00:00,Delta Air Lines,504,190.41,8840.77,57,447,496.0,8.0,1,LHR,4.0,1,0.8869047619047619,0.1130952380952381
